assignee_organization,assignee_lastknown_state,assignee_lastknown_latitude,assignee_lastknown_longitude,assignee_total_num_patents,assignee_lastknown_city,count
"Varian Semiconductor Equipment Associates, Inc.",MA,42.6158,-70.6625,785,Gloucester,
"Open Invention Network, LLC",NC,35.9939,-78.8989,784,Durham,
"Taylor Made Golf Company, Inc.",CA,33.1581,-117.35,780,Carlsbad,
"Stine Seed Farm, Inc.",IA,41.6144,-94.0172,777,Adel,
The Cleveland Clinic Foundation,OH,41.4994,-81.6956,774,Cleveland,
"Siemens Industry, Inc.",GA,34.0753,-84.2942,771,Alpharetta,
Vanderbilt University,TN,36.1658,-86.7844,770,Nashville,
Alpha and Omega Semiconductor Incorporated,CA,37.3689,-122.035,769,Sunnyvale,
The Regents of the University of Colorado,CO,39.7392,-104.984,767,Denver,
CertainTeed Corporation,PA,40.0361,-75.5142,764,Malvern,
"Conexant Systems, Inc.",CA,33.6694,-117.822,764,Irvine,
The Clorox Company,CA,37.8044,-122.27,758,Oakland,
"Medtronic MiniMed, Inc.",CA,34.2283,-118.536,755,Northridge,
University of Rochester,NY,43.1547,-77.6158,755,Rochester,
Westinghouse Air Brake Company,PA,40.3908,-79.8103,753,Wilmerding,
TRW Vehicle Safety Systems Inc.,MI,42.7244,-83.0361,751,Washington,
Newfrey LLC,CT,41.6611,-72.78,749,New Britain,
Case Western Reserve University,OH,41.4994,-81.6956,748,Cleveland,
University of Iowa Research Foundation,IA,41.6611,-91.53,745,Iowa City,
MASTERCARD INTERNATIONAL INCORPORATED,NY,41.0408,-73.715,744,Purchase,
"Tessera, Inc.",CA,37.3394,-121.894,743,San Jose,
PACCAR Inc,WA,47.6106,-122.199,743,Bellevue,
Visa International Service Association,CA,37.775,-122.418,740,San Francisco,
"Dana-Farber Cancer Institute, Inc.",MA,42.3583,-71.0603,737,Boston,
Carnegie Mellon University,PA,40.4406,-79.9961,732,Pittsburgh,
"ZymoGenetics, Inc.",NJ,40.3486,-74.6594,731,Princeton,
Guardian Industries Corp.,MI,42.6875,-83.2342,727,Auburn Hills,
Cameron International Corporation,TX,29.7631,-95.3631,727,Houston,
"Western Digital (Fremont), LLC",CA,37.5483,-121.988,724,Fremont,
"Intermolecular, Inc.",CA,37.3394,-121.894,723,San Jose,
Maxtor Corporation,CA,37.3231,-122.031,721,Cupertino,
"NEC Laboratories America, Inc.",NJ,40.3486,-74.6594,718,Princeton,
"Bio-Rad Laboratories, Inc.",CA,38.0172,-122.287,718,Hercules,
Chevron Phillips Chemical Company LP,TX,30.1578,-95.4892,717,The Woodlands,
"CommVault Systems, Inc.",NJ,40.3042,-74.1008,717,Tinton Falls,
Pall Corporation,NY,40.8256,-73.6986,714,Port Washington,
"Human Genome Sciences, Inc.",MD,39.0839,-77.1531,713,Rockville,
"Minka Lighting, Inc.",CA,33.8753,-117.566,710,Corona,
"T-Mobile USA, Inc.",WA,47.6106,-122.199,708,Bellevue,
Avaya Technology Corp.,NJ,40.7061,-74.5497,706,Basking Ridge,
Lattice Semiconductor Corporation,OR,45.5236,-122.675,706,Portland,
Sikorsky Aircraft Corporation,CT,41.1844,-73.1336,701,Stratford,
Children's Medical Center Corporation,MA,42.3583,-71.0603,696,Boston,
"Sonos, Inc.",CA,34.4208,-119.697,695,Santa Barbara,
University of Kentucky Research Foundation,KY,37.9886,-84.4778,694,Lexington,
The Quaker Oats Company,IL,41.85,-87.65,693,Chicago,
The United States of America as represented by the Secretary of the Department of Health and Human Services,DC,38.895,-77.0367,692,Washington,
AbbVie Inc.,IL,42.3256,-87.8411,689,North Chicago,
"PepsiCo, Inc.",NY,41.0408,-73.715,687,Purchase,
Framatome,VA,37.4136,-79.1425,685,Lynchburg,
"Trading Technologies International, Inc.",IL,41.85,-87.65,685,Chicago,
"KCI Licensing, Inc.",TX,29.4239,-98.4933,683,San Antonio,
Emory University,GA,33.7489,-84.3881,682,Atlanta,
Syngenta Crop Protection AG,NC,36.0725,-79.7922,680,Greensboro,
"Welch Allyn, Inc.",NY,42.9931,-76.4564,677,Skaneateles Falls,
"Eisai Co., Ltd.",NJ,41.0233,-74.0669,673,Woodcliff Lake,
Cornell University,NY,42.4406,-76.4969,672,Ithaca,
ABL IP Holding LLC,GA,33.6675,-84.0178,670,Conyers,
SUN PATENT TRUST,NY,40.7142,-74.0064,669,New York,
SanDisk 3D LLC,CA,37.4283,-121.906,668,Milpitas,
Moen Incorporated,OH,41.4156,-81.9236,666,North Olmsted,
Bayer HealthCare LLC,NJ,40.8244,-74.4175,664,Whippany,
CenturyLink Intellectual Property LLC,CO,39.9206,-105.086,663,Broomfield,
ISP Investments Inc.,DE,39.7458,-75.5469,662,Wilmington,
The Curators of the University of Missouri,MO,38.9517,-92.3339,661,Columbia,
Arizona Board of Regents on behalf of Arizona State University,AZ,33.5092,-111.898,660,Scottsdale,
Linear Technology Corporation,CA,37.4283,-121.906,659,Milpitas,
ConocoPhillips Company,TX,29.7631,-95.3631,658,Houston,
"FCI Americas Technology, Inc.",NV,39.1639,-119.766,654,Carson City,
Conair Corporation,CT,41.0533,-73.5392,654,Stamford,
Fisher Controls International LLC,IA,42.0494,-92.9078,654,Marshalltown,
"BAKER HUGHES, A GE COMPANY, LLC",TX,29.7631,-95.3631,652,Houston,
The Toro Company,MN,44.8408,-93.2981,650,Bloomington,
"University of Georgia Research Foundation, Inc.",GA,33.9608,-83.3781,649,Athens,
Lord Corporation,NC,35.7914,-78.7814,648,Cary,
"Metrologic Instruments, Inc.",NJ,39.8022,-75.0644,645,Blackwood,
"Cargill, Incorporated",MN,44.9742,-93.5064,643,Wayzata,
The University of Chicago,IL,41.85,-87.65,642,Chicago,
"Fina Technology, Inc.",TX,29.7631,-95.3631,639,Houston,
"Johnson & Johnson Consumer Companies, Inc.",NJ,40.42,-74.715,638,Skillman,
WesternGeco L.L.C.,TX,29.7631,-95.3631,637,Houston,
"Biomet Manufacturing, LLC",IN,41.2381,-85.8531,636,Warsaw,
"Oakley, Inc.",CA,33.6864,-117.66,634,Foothill Ranch,
"Medtronic Vascular, Inc.",CA,38.4406,-122.713,632,Santa Rosa,
SunPower Corporation,CA,37.3394,-121.894,631,San Jose,
Imation Corp.,MN,44.9631,-92.9647,631,Oakdale,
Fluke Corporation,WA,47.9792,-122.201,630,Everett,
"Teradyne, Inc.",MA,42.575,-71.0792,627,North Reading,
"Delaware Capital Formation, Inc.",DE,39.7458,-75.5469,625,Wilmington,
Bell Helicopter Textron Inc.,TX,32.7253,-97.3206,624,Fort Worth,
"Advanced Technology Materials, Inc.",CT,41.3947,-73.4544,624,Danbury,
"Rovi Guides, Inc.",CA,37.3394,-121.894,622,San Jose,
The Rockefeller University,NY,40.7142,-74.0064,620,New York,
"RF Micro Devices, Inc.",NC,36.0725,-79.7922,620,Greensboro,
SPX Corporation,NC,35.2269,-80.8433,614,Charlotte,
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,IL,40.4842,-88.9936,613,Bloomington,
"Gilead Sciences, Inc.",CA,37.5586,-122.27,611,Foster City,
"Seminis Vegetable Seeds, Inc.",CA,38.6786,-121.772,609,Woodland,
"ARRIS Enterprises, Inc.",GA,34.0514,-84.0714,608,Suwanee,
"Nissan North America, Inc.",TN,35.925,-86.8689,607,Franklin,
Hunter Douglas Inc.,NY,41.0589,-74.0222,607,Pearl River,
Philip Morris USA Inc.,VA,37.5536,-77.4606,600,Richmond,
United States Gypsum Company,IL,41.85,-87.65,599,Chicago,
"ViaSat, Inc.",CA,33.1581,-117.35,596,Carlsbad,
Clark Equipment Company,NC,35.7825,-80.8875,595,Statesville,
"Mikron Industries, Inc.",WA,47.3811,-122.234,592,Kent,
"QUALCOMM MEMS Technologies, Inc.",CA,32.7153,-117.156,589,San Diego,
The Aerospace Corporation,CA,33.9192,-118.416,589,El Segundo,
"Virginia Tech Intellectual Properties, Inc.",VA,37.2294,-80.4142,588,Blacksburg,
"Graphic Packaging International, Inc.",GA,33.7489,-84.3881,588,Atlanta,
"CareFusion 303, Inc.",CA,32.7153,-117.156,588,San Diego,
University of Tennessee Research Foundation,TN,35.9606,-83.9208,587,Knoxville,
Genzyme Corporation,MA,42.375,-71.1061,586,Cambridge,
Briggs & Stratton Corporation,WI,43.0494,-88.0075,586,Wauwatosa,
"Fortinet, Inc.",CA,37.3689,-122.035,585,Sunnyvale,
Ball Corporation,CO,39.9206,-105.086,580,Broomfield,
Kelsey-Hayes Company,MI,42.3683,-83.3528,580,Livonia,
University of Connecticut,CT,41.7197,-72.8325,580,Farmington,
"Regeneron Pharmaceuticals, Inc.",NY,41.0761,-73.8592,574,Tarrytown,
"Sunbeam Products, Inc.",FL,26.3583,-80.0833,574,Boca Raton,
Hunter Fan Company,TN,35.1494,-90.0489,570,Memphis,
Anritsu Corporation,CA,37.1306,-121.653,570,Morgan Hill,
Mentor Graphics Corporation,OR,45.3,-122.772,569,Wilsonville,
"Diebold Self-Service Systems division of Diebold, Incorporated",OH,40.8758,-81.4025,569,North Canton,
"Los Alamos National Security, LLC",NM,35.8881,-106.306,568,Los Alamos,
"St. Jude Medical, Atrial Fibrillation Division, Inc.",MN,44.9537,-93.09,567,St. Paul,
"BISSELL Homecare, Inc.",MI,42.9633,-85.6681,563,Grand Rapids,
Trustees of Boston University,MA,42.3583,-71.0603,563,Boston,
Universal Display Corporation,NJ,40.2697,-74.8003,562,Ewing,
"Spectrum Diversified Designs, Inc.",OH,41.2392,-81.3461,561,Streetsboro,
"GoPro, Inc.",CA,37.5631,-122.324,560,San Mateo,
University of Virginia Patent Foundation,VA,38.0292,-78.4769,559,Charlottesville,
Masimo Corporation,CA,33.6694,-117.822,559,Irvine,
Symantec Operating Corporation,CA,37.3861,-122.083,556,Mountain View,
"Level 3 Communications, LLC",CO,39.9206,-105.086,555,Broomfield,
"Fisher-Rosemount Systems, Inc.",TX,30.5081,-97.6786,554,Round Rock,
Sensormatic Electronics Corporation,FL,26.3583,-80.0833,552,Boca Raton,
Gen-Probe Incorporated,CA,32.7153,-117.156,551,San Diego,
"American Megatrends, Inc.",GA,33.9411,-84.2136,551,Norcross,
Bell & Howell Company,NC,35.9939,-78.8989,551,Durham,
AOL Inc.,VA,38.9516,-77.4481,550,Dulles,
Intermec IP Corp.,SC,35.0072,-80.9453,547,Fort Mill,
The United States of America as represented by the Secretary of the Interior,DC,38.895,-77.0367,545,Washington,
Board of Supervisors of Louisiana State University and Agricultural and Mechanical College,LA,30.4506,-91.1544,545,Baton Rouge,
"Diebold, Incorporated",OH,40.8758,-81.4025,545,North Canton,
"Genesys Telecommunications Laboratories, Inc.",CA,37.7058,-122.461,545,Daly City,
West Corporation,NE,41.2586,-95.9375,544,Omaha,
"The Florida State University Research Foundation, Inc.",FL,30.4381,-84.2808,544,Tallahassee,
"Herman Miller, Inc.",MI,42.8125,-86.0186,544,Zeeland,
"Affymetrix, Inc.",CA,33.1581,-117.35,539,Carlsbad,
Federal-Mogul Corporation,MI,42.4733,-83.2219,539,Southfield,
"Carestream Health, Inc.",NY,43.1547,-77.6158,539,Rochester,
"Brocade Communications Systems, Inc.",CA,37.3394,-121.894,537,San Jose,
Rohm and Haas Electronic Materials LLC,MA,42.3458,-71.5528,536,Marlborough,
St. Jude Medical AB,IL,42.3045,-87.8961,535,Abbott Park,
Time Warner Cable Enterprises LLC,MO,38.627,-90.1994,532,St. Louis,
"Laitram, L.L.C.",LA,29.9403,-90.2031,531,Harahan,
"United Parcel Service of America, Inc.",GA,33.7489,-84.3881,531,Atlanta,
iRobot Corporation,MA,42.4906,-71.2767,530,Bedford,
"International Truck Intellectual Property Company, LLC",IL,41.8011,-88.0747,529,Lisle,
"Plantronics, Inc.",CA,36.9742,-122.03,528,Santa Cruz,
"UChicago Argonne, LLC",IL,41.85,-87.65,528,Chicago,
Wm. Wrigley Jr. Company,IL,41.85,-87.65,527,Chicago,
FEI Company,OR,45.5231,-122.989,526,Hillsboro,
Albemarle Corporation,LA,30.4506,-91.1544,523,Baton Rouge,
United States Steel Corporation,PA,40.4406,-79.9961,522,Pittsburgh,
First Data Corporation,CO,39.6172,-104.95,521,Greenwood Village,
"Graham Packaging Company, L.P.",PA,40.0378,-76.3058,520,Lancaster,
The Board of Trustees of the University of Arkansas,AR,34.7464,-92.2894,520,Little Rock,
"DexCom, Inc.",CA,32.7153,-117.156,520,San Diego,
Masonite Corporation,FL,27.9472,-82.4586,519,Tampa,
Applied Micro Circuits Corporation,CA,37.3542,-121.954,517,Santa Clara,
"Coherent, Inc.",CA,37.3542,-121.954,515,Santa Clara,
X Development LLC,CA,37.3861,-122.083,514,Mountain View,
"Qorvo US, Inc.",NC,36.0725,-79.7922,513,Greensboro,
"Haier US Appliance Solutions, Inc.",DE,39.7458,-75.5469,513,Wilmington,
The Salk Institute for Biological Studies,CA,32.8472,-117.273,513,La Jolla,
AGCO Corporation,GA,34.0028,-84.1447,513,Duluth,
Alcoa Inc.,PA,40.5383,-79.6453,512,Alcoa Center,
The University of Akron,OH,41.0814,-81.5192,508,Akron,
Sloan-Kettering Institute for Cancer Research,NY,40.7142,-74.0064,507,New York,
Ludwig Institute for Cancer Research,NY,40.7142,-74.0064,505,New York,
Ball Horticultural Company,IL,41.8847,-88.2039,504,West Chicago,
"John Mezzalingua Associates, Inc.",NY,43.1064,-76.2181,503,Liverpool,
"Terra Nova Nurseries, Inc.",OR,45.2631,-122.691,502,Canby,
BSH Home Appliances Corporation,CA,33.6694,-117.822,499,Irvine,
"Florida Turbine Technologies, Inc.",FL,26.9339,-80.0944,499,Jupiter,
FCA US LLC,MI,42.6875,-83.2342,499,Auburn Hills,
"Maxlinear, Inc.",CA,33.1581,-117.35,497,Carlsbad,
Boston Scientific Corporation,MN,45.0725,-93.4556,495,Maple Grove,
"Applied Biosystems, LLC",CA,33.1581,-117.35,494,Carlsbad,
IBM Corporation,NY,41.1264,-73.7144,493,Armonk,
"Square, Inc.",CA,37.775,-122.418,492,San Francisco,
"Plastipak Packaging, Inc.",MI,42.3714,-83.4703,491,Plymouth,
Alliant Techsystems Inc.,MN,44.98,-93.2636,490,Minneapolis,
"Adtran, Inc.",AL,34.7303,-86.5861,490,Huntsville,
"Fiskars Brands, Inc.",WI,43.0972,-89.5042,489,Middleton,
Millipore Corporation,MA,42.5583,-71.2694,488,Billerica,
"ArvinMeritor Technology, LLC",MI,42.6056,-83.15,487,Troy,
"Otter Products, LLC",CO,40.5853,-105.084,486,Fort Collins,
University of PittsburghÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬ÂOf the Commonwealth System of Higher Education,PA,40.4406,-79.9961,484,Pittsburgh,
The United States of America as represented by the Secretary of Commerce,MD,39.1433,-77.2017,484,Gaithersburg,
Dialog Semiconductor GmbH,CA,37.2872,-121.949,483,Campbell,
Celanese International Corporation,TX,32.8139,-96.9486,480,Irving,
Access Business Group International LLC,MI,42.9542,-85.4889,479,Ada,
"Arthrex, Inc.",FL,26.1417,-81.795,479,Naples,
Clariant GmbH,KY,38.2542,-85.7594,479,Louisville,
Corning Optical Communications LLC,NC,35.7331,-81.3414,478,Hickory,
"Allegro Microsystems, LLC",NH,42.9956,-71.4553,477,Manchester,
Infinera Corporation,CA,37.3689,-122.035,476,Sunnyvale,
"FormFactor, Inc.",CA,37.6819,-121.767,475,Livermore,
"Cymer, Inc.",CA,32.7153,-117.156,474,San Diego,
STC.UNM,NM,35.0844,-106.651,473,Albuquerque,
Board of Regents of the University of Nebraska,NE,40.8,-96.6667,473,Lincoln,
Albany International Corp.,NH,43.3044,-70.9761,471,Rochester,
CTS Corporation,IL,41.8011,-88.0747,471,Lisle,
Baylor College of Medicine,TX,29.7631,-95.3631,469,Houston,
Purdue Pharma L.P.,CT,41.0533,-73.5392,468,Stamford,
Momentive Performance Materials Inc.,NY,42.7925,-73.6817,467,Waterford,
"Align Technology, Inc.",CA,37.3394,-121.894,466,San Jose,
M-I L.L.C.,TX,29.7631,-95.3631,466,Houston,
"DENSO International America, Inc.",MI,42.4733,-83.2219,462,Southfield,
"Dropbox, Inc.",CA,37.775,-122.418,460,San Francisco,
"Capital One Services, LLC",VA,38.9342,-77.1778,459,McLean,
Polaris Industries Inc.,MN,45.0353,-93.5822,458,Medina,
"Teradata US, Inc.",CA,32.7153,-117.156,458,San Diego,
Greatbatch Ltd.,NY,42.9767,-78.5922,458,Clarence,
"NetLogic Microsystems, Inc.",CA,37.3542,-121.954,456,Santa Clara,
SAS Institute Inc.,NC,35.7914,-78.7814,456,Cary,
Occidental Chemical Corporation,TX,32.7833,-96.8,455,Dallas,
L-3 Communications Corporation,NY,40.7142,-74.0064,455,New York,
"B/E Aerospace, Inc.",NC,36.104,-80.2544,455,Winston Salem,
"Weatherford Technology Holdings, LLC",TX,29.7631,-95.3631,455,Houston,
"Telcordia Technologies, Inc.",NJ,40.4992,-74.3994,454,Piscataway,
Zynga Inc.,CA,37.775,-122.418,454,San Francisco,
Qwest Communications International Inc.,CO,39.9206,-105.086,452,Broomfield,
"Entegris, Inc.",MA,42.5583,-71.2694,452,Billerica,
"Federal-Mogul World Wide, Inc.",MI,42.4733,-83.2219,452,Southfield,
Howmedica Osteonics Corp.,NJ,41.0886,-74.1442,452,Mahwah,
DELTA FAUCET COMPANY,IN,39.7683,-86.1581,448,Indianapolis,
"Computer Associates Think, Inc.",NY,40.8042,-73.1694,447,Islandia,
Thermo King Corporation,MN,44.98,-93.2636,447,Minneapolis,
Schlage Lock Company LLC,IN,39.9783,-86.1181,447,Carmel,
"Armstrong World Industries, Inc.",PA,40.0378,-76.3058,447,Lancaster,
Invensas Corporation,CA,37.3394,-121.894,446,San Jose,
Sun Chemical Corporation,NJ,40.8578,-74.4264,445,Parsippany,
"Medline Industries, Inc.",IL,42.0997,-87.7808,444,Northfield,
"National Oilwell Varco, L.P.",TX,29.7631,-95.3631,443,Houston,
Verizon Services Corp.,NJ,40.7061,-74.5497,443,Basking Ridge,
Immunex Corporation,CA,34.1706,-118.837,443,Thousand Oaks,
Amphenol Corporation,CT,41.4569,-72.8236,441,Wallingford,
"NICIRA, INC.",CA,37.4419,-122.142,440,Palo Alto,
"NuVasive, Inc.",CA,32.7153,-117.156,440,San Diego,
Vetco Gray Inc.,TX,29.7631,-95.3631,439,Houston,
Trustees of Dartmouth College,NH,43.7022,-72.29,438,Hanover,
Lennox Industries Inc.,TX,32.9481,-96.7294,438,Richardson,
Thomas Jefferson University,PA,39.9522,-75.1642,437,Philadelphia,
"Sonoco Development, Inc.",SC,34.3739,-80.0736,437,Hartsville,
"Beckman Coulter, Inc.",CA,33.9167,-117.899,436,Brea,
Visa U.S.A. Inc.,CA,37.775,-122.418,434,San Francisco,
"The Chamberlain Group, Inc.",IL,41.8328,-87.9289,434,Oak Brook,
"Haworth, Inc.",MI,42.7875,-86.1089,433,Holland,
The Arizona Board of Regents on Behalf of the University of Arizona,AZ,32.2217,-110.926,432,Tucson,
"Silicon Storage Technology, Inc.",CA,37.3394,-121.894,432,San Jose,
"Church & Dwight Co., Inc.",NJ,40.3486,-74.6594,432,Princeton,
"FLIR Systems, Inc.",OR,45.3,-122.772,431,Wilsonville,
William Marsh Rice University,TX,29.7631,-95.3631,431,Houston,
Drexel University,PA,39.9522,-75.1642,430,Philadelphia,
"MKS Instruments, Inc.",MA,42.6583,-71.1375,428,Andover,
"Battelle Energy Alliance, LLC",ID,43.4667,-112.033,427,Idaho Falls,
"Flextronics AP, LLC",CO,39.9206,-105.086,427,Broomfield,
MAGNA ELECTRONICS INC.,MI,42.6875,-83.2342,426,Auburn Hills,
"Round Rock Research, LLC",NJ,40.8578,-74.4264,426,Parsippany,
"TeleCommunication Systems, Inc.",MD,38.9783,-76.4925,425,Annapolis,
Southwire Company,GA,33.58,-85.0767,423,Carrollton,
Hydro-Gear Limited Partnership,IL,39.5994,-88.6078,423,Sullivan,
"Alcon Laboratories, Inc.",TX,32.7253,-97.3206,422,Fort Worth,
"Roche Molecular Systems, Inc.",CA,37.6625,-121.874,420,Pleasanton,
Palantir Technologies Inc.,CA,37.4419,-122.142,420,Palo Alto,
Cognex Corporation,MA,42.2833,-71.35,419,Natick,
Master Lock Company LLC,WI,42.8858,-87.8631,418,Oak Creek,
Rehrig Pacific Company,CA,34.0522,-118.243,417,Los Angeles,
The United States of America as represented by the Department of Energy,DC,38.895,-77.0367,416,Washington,
"Hasbro, Inc.",RI,41.8786,-71.3831,416,Pawtucket,
"Univation Technologies, LLC",TX,29.7631,-95.3631,414,Houston,
Snap-on Incorporated,WI,42.5847,-87.8211,414,Kenosha,
Science Applications International Corporation,VA,38.9686,-77.3414,413,Reston,
Textron Innovations Inc.,RI,41.8239,-71.4133,413,Providence,
"Space Systems/Loral, Inc.",CA,37.4419,-122.142,412,Palo Alto,
"The Coleman Company, Inc.",KS,37.6922,-97.3372,411,Wichita,
Owens-Brockway Glass Container Inc.,OH,41.5569,-83.6272,411,Perrysburg,
"Lifetime Products, Inc.",UT,41.1108,-112.025,409,Clearfield,
INPHI CORPORATION,CA,37.3542,-121.954,409,Santa Clara,
"American Axle & Manufacturing, Inc.",MI,42.3314,-83.0458,409,Detroit,
"Micron Electronics, Inc.",FL,26.3583,-80.0833,409,Boca Raton,
"Rigel Pharmaceuticals, Inc.",CA,37.6547,-122.407,408,South San Francisco,
Modine Manufacturing Company,WI,42.7261,-87.7828,407,Racine,
"Brooks Automation, Inc.",MA,42.5997,-71.3678,407,Chelmsford,
City of Hope,CA,34.1394,-117.976,407,Duarte,
BP Corporation North America Inc.,TX,29.7631,-95.3631,407,Houston,
"InterDesign, Inc.",OH,41.3897,-81.4414,406,Solon,
Cytec Technology Corp.,DE,39.7458,-75.5469,405,Wilmington,
Splunk Inc.,CA,37.775,-122.418,404,San Francisco,
US Synthetic Corporation,UT,40.2969,-111.694,404,Orem,
"CFPH, LLC",NY,40.7142,-74.0064,403,New York,
The Sherwin-Williams Company,OH,41.4994,-81.6956,402,Cleveland,
Ferro Corporation,OH,41.5192,-81.4581,402,Mayfield Heights,
Biogen Idec MA Inc.,MA,42.375,-71.1061,402,Cambridge,
"Wal-Mart Stores, Inc.",AR,36.3728,-94.2086,401,Bentonville,
TE CONNECTIVITY CORPORATION,PA,40.0447,-75.4392,401,Berwyn,
"Cryovac, Inc.",NC,35.2269,-80.8433,400,Charlotte,
Marathon Oil Company,TX,29.7631,-95.3631,399,Houston,
Rensselaer Polytechnic Institute,NY,42.7283,-73.6922,399,Troy,
"Southco, Inc.",PA,39.885,-75.5206,398,Concordville,
Northeastern University,MA,42.3583,-71.0603,398,Boston,
"Skechers U.S.A., Inc. II",CA,33.8847,-118.41,396,Manhattan Beach,
Oregon Health & Science University,OR,45.5236,-122.675,395,Portland,
"Cavium, Inc.",CA,37.3542,-121.954,394,Santa Clara,
"Schneider Electric USA, Inc.",MA,42.0583,-71.25,393,Foxboro,
"Ashley Furniture Industries, Inc.",WI,44.2528,-91.5014,393,Arcadia,
"Illumina, Inc.",CA,32.7153,-117.156,393,San Diego,
United States Postal Service,DC,38.895,-77.0367,391,Washington,
"Invensys Systems, Inc.",MA,42.0583,-71.25,391,Foxboro,
"Schweitzer Engineering Laboratories, Inc.",WA,46.7314,-117.179,391,Pullman,
E Ink Corporation,MA,42.5583,-71.2694,391,Billerica,
"Starkey Laboratories, Inc.",MN,44.8547,-93.4706,390,Eden Prairie,
"A9.com, Inc.",CA,37.4419,-122.142,390,Palo Alto,
"Equistar Chemicals, LP",TX,29.7631,-95.3631,389,Houston,
Shop Vac Corporation,PA,41.2411,-77.0014,388,Williamsport,
